22/May/2012:15:00:00 414 1030
22/May/2012:15:01:00 403 531
22/May/2012:15:02:00 350 886
22/May/2012:15:03:00 403 659
22/May/2012:15:04:00 343 608
22/May/2012:15:05:00 345 810
22/May/2012:15:06:00 328 864
22/May/2012:15:07:00 400 697
22/May/2012:15:08:00 305 749
22/May/2012:15:09:00 398 1088
22/May/2012:15:10:00 445 963
22/May/2012:15:11:00 426 975
22/May/2012:15:12:00 363 829
22/May/2012:15:13:00 399 896
22/May/2012:15:14:00 328 759
22/May/2012:15:15:00 417 620
22/May/2012:15:16:00 309 973
22/May/2012:15:17:00 340 860
22/May/2012:15:18:00 303 416
22/May/2012:15:19:00 340 732
22/May/2012:15:20:00 403 1042
22/May/2012:15:21:00 358 509
22/May/2012:15:22:00 425 723
22/May/2012:15:23:00 444 848
22/May/2012:15:24:00 446 879
22/May/2012:15:25:00 339 446
22/May/2012:15:26:00 395 748
22/May/2012:15:27:00 439 630
22/May/2012:15:28:00 343 722
22/May/2012:15:29:00 320 434
22/May/2012:15:30:00 398 770
22/May/2012:15:31:00 363 549
22/May/2012:15:32:00 374 1058
22/May/2012:15:33:00 379 884
22/May/2012:15:34:00 364 798
22/May/2012:15:35:00 363 545
22/May/2012:15:36:00 347 893
22/May/2012:15:37:00 444 908
22/May/2012:15:38:00 400 1030
22/May/2012:15:39:00 307 443
22/May/2012:15:40:00 399 831
22/May/2012:15:41:00 422 947
22/May/2012:15:42:00 329 887
22/May/2012:15:43:00 377 695
22/May/2012:15:44:00 374 1041
22/May/2012:15:45:00 392 712
22/May/2012:15:46:00 448 793
22/May/2012:15:47:00 350 939
22/May/2012:15:48:00 373 585
22/May/2012:15:49:00 355 804
22/May/2012:15:50:00 327 1006
22/May/2012:15:51:00 325 715
22/May/2012:15:52:00 421 609
22/May/2012:15:53:00 386 590
22/May/2012:15:54:00 350 974
22/May/2012:15:55:00 328 731
22/May/2012:15:56:00 410 564
22/May/2012:15:57:00 429 602
22/May/2012:15:58:00 306 674
22/May/2012:15:59:00 414 719
